C*******************************************************************************
C
C                  INTEGRATED WATER FLOW MODEL (IWFM)
C
C*******************************************************************************
C
C                        WELL SPECIFICATION FILE
C                           Pumping Component
C                          *** Version 4.0 ***
C
C
C             Project:  
C             Filename:
C
C*******************************************************************************
C                             File Description:
C
C   This data file includes the relevant data for the wells that are simulated 
C   in the model.
C
C*******************************************************************************
C              List of modeled wells and their corresponding parameters
C
C   NWELL ; Number of wells modeled
C   FACTXY; Conversion factor for well coordinates
C   FACTRW; Conversion factor for well diameter 
C   FACTLT; Conversion factor for perforation depths 
C
C-------------------------------------------------------------------------------
C     VALUE                       DESCRIPTION
C-------------------------------------------------------------------------------
      610                         / NWELL
   3.2808                         / FACTXY
        1                         / FACTRW
        1                         / FACTLT
C-------------------------------------------------------------------------------
C*******************************************************************************
C                    Well Location and Structure Characteristics
C
C   ID      ;  Well identification number
C   XWELL   ;  X coordinate of well location, [L]
C   YWELL   ;  Y-coordinate of well location, [L]
C   RWELL   ;  Well diameter, [L]
C   PERFT   ;  Elevation of or depth to the top of well screen, [L]
C   PERFB   ;  Elevation of or depth to the bottom of well screen, [L]
C                 *** Note: If PERFT > PERFB screening interval is given as elevations
C                           IF PERFT < PERFB screening interval is given as depth-to top/bottom of screening
C
C-------------------------------------------------------------------------------
C    ID       XWELL     YWELL       RWELL      PERFT      PERFB     
C-------------------------------------------------------------------------------
	1	620006.014	4289267.104	1	150	365	/387439N1216191W001/Te Velde Trust
	2	618926.774	4291680.645	1	165	455	/387658N1216311W001/Te Velde Trust
	3	622108.555	4290699.919	1	160	415	/387566N1215947W001/Te Velde Trust
	4	622109.711	4291133.947	1	149	415	/387605N1215946W001/Te Velde Trust
	5	612247.671	4336528.757	1	210	550	/391707N1217006W001/Sutter Extension Water District
	6	612504.473	4331763.766	1	354	580	/391278N1216984W001/Sutter Extension Water District
	7	606034.640	4298547.673	1	178	390	/388293N1217784W001/River Garden Farms
	8	606074.532	4299297.410	1	365	572	/388361N1217778W001/River Garden Farms
	9	609846.260	4299484.737	1	170	262	/388373N1217344W001/River Garden Farms
	10	607756.708	4299403.672	1	295	360	/388368N1217584W001/River Garden Farms
	11	609535.309	4296094.986	1	324	686	/388068N1217385W001/River Garden Farms
	12	610459.102	4295465.351	1	298	535	/388010N1217279W001/River Garden Farms
	13	608686.849	4295521.138	1	310	440	/388018N1217483W001/River Garden Farms
	14	609959.763	4299700.864	1	184	330	/388393N1217330W001/River Garden Farms
	15	606734.640	4297336.358	1	215	385	/388183N1217705W001/River Garden Farms
	16	623204.229	4318479.785	1	130	470	/390067N1215771W001/Plumas Mutual Water Company
	17	624238.900	4314101.314	1	135	255	/389671N1215659W001/Plumas Mutual Water Company
	18	625469.877	4314020.885	1	110	175	/389662N1215517W001/Plumas Mutual Water Company
	19	623657.885	4318712.233	1	342	450	/390087N1215718W001/Plumas Mutual Water Company
	20	624118.228	4317418.481	1	226	330	/389970N1215667W001/Plumas Mutual Water Company
	21	624295.618	4316221.303	1	279	355	/389862N1215649W001/Plumas Mutual Water Company
	22	620668.025	4295758.377	1	155	195	/388023N1216104W001/Pleasant Grove Verona Mutual Water Company
	23	621606.508	4298451.148	1	147	260	/388265N1215991W001/Pleasant Grove Verona Mutual Water Company
	24	621048.230	4296798.689	1	165	235	/388117N1216058W001/Pleasant Grove Verona Mutual Water Company
	25	621375.471	4296242.025	1	153	195	/388066N1216021W001/Pleasant Grove Verona Mutual Water Company
	26	621864.328	4299585.098	1	147	260	/388361N1215959W001/Pleasant Grove Verona Mutual Water Company
	27	621961.111	4298485.453	1	140	460	/388267N1215950W001/Pleasant Grove Verona Mutual Water Company
	28	622785.086	4296411.339	1	99	189	/388079N1215859W001/Pleasant Grove Verona Mutual Water Company
	29	622006.553	4296377.132	1	90	190	/388077N1215948W001/Pleasant Grove Verona Mutual Water Company
	30	621830.835	4294583.993	1	170	260	/387916N1215972W001/Pleasant Grove Verona Mutual Water Company
	31	621978.538	4297182.568	1	120	400	/388150N1215950W001/Pleasant Grove Verona Mutual Water Company
	32	621950.441	4297936.943	1	147	260	/388218N1215952W001/Pleasant Grove Verona Mutual Water Company
	33	622070.191	4296022.908	1	120	520	/388045N1215942W001/Pleasant Grove Verona Mutual Water Company
	34	621643.320	4295993.044	1	194	197	/388043N1215991W001/Pleasant Grove Verona Mutual Water Company
	35	621283.769	4295195.000	1	153	165	/387972N1216034W001/Pleasant Grove Verona Mutual Water Company
	36	622261.034	4294966.897	1	155	190	/387950N1215922W001/Pleasant Grove Verona Mutual Water Company
	37	620888.744	4294040.126	1	156	200	/387868N1216081W001/Pleasant Grove Verona Mutual Water Company
	38	624387.561	4300394.644	1	100	200	/388436N1215667W001/Pleasant Grove Verona Mutual Water Company
	39	625621.318	4297532.454	1	205	301	/388176N1215530W001/Pleasant Grove Verona Mutual Water Company
	40	624804.846	4298922.643	1	160	295	/388303N1215622W001/Pleasant Grove Verona Mutual Water Company
	41	622002.502	4300817.120	1	160	200	/388477N1215941W001/Pleasant Grove Verona Mutual Water Company
	42	625341.530	4297322.674	1	147	260	/388158N1215563W001/Pleasant Grove Verona Mutual Water Company
	43	622757.477	4300943.111	1	147	260	/388488N1215854W001/Pleasant Grove Verona Mutual Water Company
	44	623199.748	4300746.840	1	147	260	/388469N1215803W001/Pleasant Grove Verona Mutual Water Company
	45	621958.404	4298492.072	1	135	275	/388268N1215950W001/Pleasant Grove Verona Mutual Water Company
	46	622426.423	4296803.182	1	130	340	/381150N1215899W001/Pleasant Grove Verona Mutual Water Company
	47	621821.417	4294518.358	1	170	185	/387910N1215973W001/Pleasant Grove Verona Mutual Water Company
	48	623234.468	4298848.133	1	147	260	/388298N1215803W001/Pleasant Grove Verona Mutual Water Company
	49	625444.304	4298896.102	1	147	260	/388299N1215548W001/Pleasant Grove Verona Mutual Water Company
	50	623216.895	4298023.115	1	147	260	/388224N1215806W001/Pleasant Grove Verona Mutual Water Company
	51	622683.539	4298653.108	1	147	260	/388281N1215866W001/Pleasant Grove Verona Mutual Water Company
	52	601252.823	4312942.021	1	200	700	/389596N1218314W001/Pelger Road 1700
	53	601481.957	4310567.375	1	340	820	/389382N1218291W001/Pelger Road 1700
	54	603880.545	4313512.934	1	101	485	/389644N1218010W001/Pelger Mutual Water Company
	55	603080.497	4313066.237	1	130	300	/389605N1218103W001/Pelger Mutual Water Company
	56	606279.817	4309082.858	1	140	250	/389242N1217740W001/Pelger Mutual Water Company
	57	604698.059	4312243.963	1	135	285	/389529N1217917W001/Pelger Mutual Water Company
	58	629056.337	4289271.147	1	154	422	/387427N1215150W001/Natomas Central Mutual Water Company
	59	630210.072	4289423.154	1	249	952	/387439N1215017W001/Natomas Central Mutual Water Company
	60	630977.707	4289242.720	1	112	370	/387422N1214929W001/Natomas Central Mutual Water Company
	61	630109.250	4288677.776	1	154	422	/387372N1215030W001/Natomas Central Mutual Water Company
	62	629823.681	4290193.867	1	154	422	/387509N1215060W001/Natomas Central Mutual Water Company
	63	629488.742	4289944.197	1	154	422	/387487N1215099W001/Natomas Central Mutual Water Company
	64	628685.817	4290142.071	1	154	422	/387506N1215191W001/Natomas Central Mutual Water Company
	65	628463.996	4289883.177	1	154	422	/387483N1215217W001/Natomas Central Mutual Water Company
	66	628055.577	4293650.707	1	154	422	/387823N1215257W001/Natomas Central Mutual Water Company
	67	628039.377	4294116.662	1	154	422	/387865N1215258W001/Natomas Central Mutual Water Company
	68	628029.720	4294483.929	1	122	668	/387898N1215259W001/Natomas Central Mutual Water Company
	69	625381.079	4284727.927	1	165	296	/387023N1215581W001/Natomas Central Mutual Water Company
	70	627769.087	4284976.774	1	161	508	/387042N1215306W001/Natomas Central Mutual Water Company
	71	627853.968	4284023.519	1	150	510	/386956N1215298W001/Natomas Central Mutual Water Company
	72	625808.380	4274722.466	1	192	503	/386121N1215550W001/Natomas Central Mutual Water Company
	73	623642.837	4294146.903	1	150	252	/387874N1215764W001/Natomas Central Mutual Water Company
	74	625731.864	4297242.267	1	160	190	/388150N1215518W001/Natomas Central Mutual Water Company
	75	623994.145	4295861.696	1	150	226	/388028N1215720W001/Natomas Central Mutual Water Company
	76	623582.037	4294145.957	1	140	370	/387874N1215771W001/Natomas Central Mutual Water Company
	77	622879.611	4288463.491	1	110	288	/387363N1215862W001/Natomas Central Mutual Water Company
	78	624871.287	4278843.589	1	120	290	/386494N1215650W001/Natomas Central Mutual Water Company
	79	629893.572	4287989.359	1	220	350	/387310N1215056W001/Natomas Central Mutual Water Company
	80	630926.024	4288019.598	1	154	422	/387312N1214937W001/Natomas Central Mutual Water Company
	81	619966.096	4282797.544	1	152	535	/386857N1216207W001/Natomas Central Mutual Water Company
	82	628492.192	4287329.451	1	110	440	/387253N1215219W001/Natomas Central Mutual Water Company
	83	622505.620	4312276.615	1	95	225	/389509N1215863W001/Garden Highway Mutual Water Company
	84	622070.504	4312287.415	1	148	240	/389510N1215913W001/Garden Highway Mutual Water Company
	85	622232.028	4310480.886	1	160	365	/389347N1215897W001/Garden Highway Mutual Water Company
	86	622503.473	4312124.506	1	138	255	/389495N1215863W001/Garden Highway Mutual Water Company
	87	622519.171	4312844.500	1	150	190	/389560N1215860W001/Garden Highway Mutual Water Company
	88	612263.639	4278515.340	1	270	740	/386481N1217099W001/Conaway Preservation Group
	89	614104.326	4278471.514	1	144	390	/386475N1216888W001/Conaway Preservation Group
	90	613222.319	4277999.444	1	260	800	/386433N1216990W001/Conaway Preservation Group
	91	614663.921	4277629.321	1	330	960	/386398N1216825W001/Conaway Preservation Group
	92	612255.066	4277887.001	1	300	790	/386424N1217101W001/Conaway Preservation Group
	93	612238.110	4275562.585	1	280	590	/386215N1217107W001/Conaway Preservation Group
	94	617538.388	4276092.771	1	170	400	/386256N1216497W001/Conaway Preservation Group
	95	615456.861	4275287.679	1	260	420	/386186N1216738W001/Conaway Preservation Group
	96	616812.066	4275269.638	1	170	470	/386183N1216582W001/Conaway Preservation Group
	97	616759.295	4273683.981	1	230	850	/386040N1216591W001/Conaway Preservation Group
	98	617914.249	4275227.000	1	231	657	/386177N1216456W001/Conaway Preservation Group
	99	612230.625	4274712.948	1	320	880	/386138N1217109W001/Conaway Preservation Group
	100	615533.867	4281215.882	1	180	480	/386720N1216719W001/Conaway Preservation Group
	101	616623.208	4281696.808	1	190	300	/386762N1216593W001/Conaway Preservation Group
	102	615549.990	4281664.534	1	260	640	/386760N1216716W001/Conaway Preservation Group
	103	615753.494	4280532.009	1	220	980	/386658N1216695W001/Conaway Preservation Group
	104	615890.852	4279702.653	1	220	980	/386583N1216680W001/Conaway Preservation Group
	105	615969.492	4279082.226	1	220	600	/386527N1216673W001/Conaway Preservation Group
	106	615290.925	4279301.042	1	221	668	/386548N1216750W001/Conaway Preservation Group
	107	614745.276	4278449.624	1	240	600	/386472N1216814W001/Conaway Preservation Group
	108	615486.777	4278397.051	1	170	300	/386466N1216729W001/Conaway Preservation Group
	109	616580.849	4277687.049	1	120	290	/386401N1216605W001/Conaway Preservation Group
	110	616141.453	4278449.837	1	210	860	/386470N1216654W001/Conaway Preservation Group
	111	612250.676	4276836.952	1	300	940	/386330N1217103W001/Conaway Preservation Group
	112	613940.180	4278494.809	1	260	850	/386477N1216907W001/Conaway Preservation Group
	113	629081.620	4347903.447	1	151	242	/392709N1215037W001/Cordua Irrigation District
	114	628706.531	4347646.140	1	151	242	/392686N1215081W001/Cordua Irrigation District
	115	627734.059	4346377.384	1	151	242	/392574N1215196W001/Cordua Irrigation District
	116	626853.787	4347219.167	1	151	242	/392651N1215296W001/Cordua Irrigation District
	117	627786.009	4347232.148	1	151	242	/392651N1215188W001/Cordua Irrigation District
	118	627886.969	4345540.627	1	151	242	/392498N1215180W001/Cordua Irrigation District
	119	627257.375	4347882.155	1	151	242	/392709N1215248W001/Cordua Irrigation District
	120	627199.020	4348296.615	1	151	242	/392747N1215254W001/Cordua Irrigation District
	121	628961.099	4345424.624	1	151	242	/392486N1215055W001/Cordua Irrigation District
	122	628704.272	4346977.023	1	151	242	/392626N1215082W001/Cordua Irrigation District
	123	624338.781	4343759.795	1	151	242	/392343N1215594W001/Cordua Irrigation District
	124	624416.454	4347170.625	1	151	242	/392650N1215579W001/Cordua Irrigation District
	125	624248.951	4344778.000	1	151	242	/392434N1215603W001/Cordua Irrigation District
	126	624252.798	4345399.167	1	151	242	/392490N1215601W001/Cordua Irrigation District
	127	626093.237	4346381.472	1	151	242	/392576N1215386W001/Cordua Irrigation District
	128	629247.482	4346176.924	1	151	242	/392553N1215021W001/Cordua Irrigation District
	129	625616.992	4346377.017	1	151	242	/392576N1215441W001/Cordua Irrigation District
	130	624942.292	4347141.166	1	151	242	/392640N1215488W001/Cordua Irrigation District
	131	626277.221	4343198.955	1	151	242	/392289N1215370W001/Cordua Irrigation District
	132	622961.754	4347106.618	1	151	242	/392644N1215754W001/Cordua Irrigation District
	133	630002.890	4341893.107	1	150	230	/392166N1214941W001/Cordua Irrigation District
	134	627432.326	4345642.435	1	120	290	/392507N1215234W001/Cordua Irrigation District
	135	629289.350	4345654.964	1	182	205	/392506N1215016W001/Cordua Irrigation District
	136	622810.817	4344845.406	1	151	242	/392442N1215769W001/Cordua Irrigation District
	137	622207.120	4347094.660	1	151	242	/392646N1215834W001/Cordua Irrigation District
	138	623495.714	4345373.065	1	151	242	/392489N1215689W001/Cordua Irrigation District
	139	606685.561	4327126.432	1	120	360	/390867N1217665W001/Tule Basin Farms
